Month,Units,Defects,COPQ,Defect_Rate
2025-01,49676,1719,809458.5599999999,0.03460423544568806
2025-02,46160,1596,780675.66,0.034575389948006935
2025-03,44907,1531,773399.08,0.034092680428441
2025-04,51201,1711,852688.99,0.033417316068045544
2025-05,43956,1584,798209.3,0.036036036036036036
2025-06,48171,1638,782046.94,0.03400386124431712
2025-07,42206,1530,736466.61,0.03625077003269677
2025-08,41888,1417,681792.8,0.03382830404889228
2025-09,45710,1578,754725.11,0.0345219864362284
2025-10,50922,1789,902971.74,0.03513216291583206
2025-11,46646,1653,791386.81,0.03543712215409681
2025-12,44988,1616,825966.94,0.03592068996176758
