Record_ID,Date,Production_Line,Product,Shift,Operator_ID,Machine_ID,Units_Produced,Defects,Rework_Units,Scrap_Units,Downtime_Hours,Root_Cause,Cost_of_Poor_Quality,Good_Units,Defect_Rate,First_Pass_Yield,Scrap_Rate,Rework_Rate
QR00001,2025-11-07,Line A,Device Alpha,Evening,OP003,M-102,212,7,3,4,2.71,Assembly,2643.75,205,0.0330188679245283,0.9669811320754716,0.018867924528301886,0.014150943396226415
QR00002,2025-03-02,Line D,Device Gamma,Evening,OP005,M-102,265,12,3,9,1.88,Material,7235.05,253,0.045283018867924525,0.9547169811320755,0.033962264150943396,0.011320754716981131
QR00003,2025-11-08,Line C,Device Alpha,Evening,OP020,M-102,172,3,1,2,2.72,Packaging,675.3,169,0.01744186046511628,0.9825581395348837,0.011627906976744186,0.005813953488372093
QR00004,2025-12-19,Line A,Device Delta,Night,OP001,M-102,257,12,4,8,3.11,Material,6980.27,245,0.04669260700389105,0.953307392996109,0.0311284046692607,0.01556420233463035
QR00005,2025-05-30,Line C,Device Beta,Morning,OP030,M-104,149,3,1,2,0.73,Assembly,1239.69,146,0.020134228187919462,0.9798657718120806,0.013422818791946308,0.006711409395973154
QR00006,2025-06-14,Line C,Device Alpha,Evening,OP002,M-105,161,5,2,3,3.1,Material,2460.54,156,0.031055900621118012,0.968944099378882,0.018633540372670808,0.012422360248447204
QR00007,2025-11-15,Line C,Device Delta,Evening,OP023,M-102,152,6,1,5,0.98,Material,3999.51,146,0.039473684210526314,0.9605263157894737,0.03289473684210526,0.006578947368421052
QR00008,2025-05-19,Line C,Device Gamma,Evening,OP002,M-102,169,1,0,1,1.89,Electrical,840.0,168,0.005917159763313609,0.9940828402366864,0.005917159763313609,0.0
QR00009,2025-12-24,Line B,Device Alpha,Evening,OP018,M-106,218,10,3,7,1.4,Packaging,2343.81,208,0.045871559633027525,0.9541284403669725,0.03211009174311927,0.013761467889908258
QR00010,2025-04-21,Line D,Device Alpha,Night,OP024,M-104,125,5,2,3,1.38,Electrical,2769.98,120,0.04,0.96,0.024,0.016
QR00011,2025-09-25,Line D,Device Beta,Evening,OP029,M-102,115,6,2,4,2.02,Process,2728.5,109,0.05217391304347826,0.9478260869565217,0.034782608695652174,0.017391304347826087
QR00012,2025-01-12,Line C,Device Gamma,Evening,OP029,M-104,154,2,0,2,2.48,Calibration,1360.0,152,0.012987012987012988,0.987012987012987,0.012987012987012988,0.0
QR00013,2025-12-26,Line C,Device Delta,Morning,OP011,M-104,258,5,2,3,2.96,Process,2091.9,253,0.01937984496124031,0.9806201550387597,0.011627906976744186,0.007751937984496124
QR00014,2025-03-11,Line D,Device Delta,Evening,OP021,M-105,223,14,5,9,5.13,Process,6017.84,209,0.06278026905829596,0.9372197309417041,0.04035874439461883,0.02242152466367713
QR00015,2025-08-09,Line C,Device Gamma,Morning,OP023,M-102,168,4,1,3,5.65,Material,2385.15,164,0.023809523809523808,0.9761904761904762,0.017857142857142856,0.005952380952380952
QR00016,2025-01-22,Line D,Device Beta,Evening,OP020,M-105,150,10,4,6,2.54,Material,5030.2,140,0.06666666666666667,0.9333333333333333,0.04,0.02666666666666667
QR00017,2025-11-13,Line C,Device Beta,Morning,OP021,M-103,173,4,2,2,0.08,Assembly,1256.14,169,0.023121387283236993,0.976878612716763,0.011560693641618497,0.011560693641618497
QR00018,2025-05-13,Line A,Device Alpha,Evening,OP028,M-102,154,4,2,2,2.92,Assembly,1463.43,150,0.025974025974025976,0.974025974025974,0.012987012987012988,0.012987012987012988
QR00019,2025-06-23,Line C,Device Alpha,Night,OP013,M-102,227,7,3,4,1.11,Assembly,2648.33,220,0.030837004405286344,0.9691629955947136,0.01762114537444934,0.013215859030837005
QR00020,2025-07-19,Line A,Device Delta,Evening,OP030,M-103,194,8,3,5,1.37,Assembly,2999.96,186,0.041237113402061855,0.9587628865979382,0.02577319587628866,0.015463917525773196
QR00021,2025-11-06,Line D,Device Gamma,Morning,OP007,M-106,214,11,2,9,2.04,Assembly,5128.62,203,0.0514018691588785,0.9485981308411215,0.04205607476635514,0.009345794392523364
QR00022,2025-05-01,Line A,Device Beta,Morning,OP005,M-103,195,6,3,3,1.69,Packaging,1129.88,189,0.03076923076923077,0.9692307692307692,0.015384615384615385,0.015384615384615385
QR00023,2025-08-15,Line B,Device Alpha,Evening,OP020,M-101,211,8,4,4,3.18,Calibration,3612.21,203,0.037914691943127965,0.9620853080568721,0.018957345971563982,0.018957345971563982
QR00024,2025-01-10,Line A,Device Delta,Evening,OP019,M-105,255,6,2,4,0.29,Material,3350.57,249,0.023529411764705882,0.9764705882352941,0.01568627450980392,0.00784313725490196
QR00025,2025-01-04,Line D,Device Delta,Evening,OP016,M-106,279,16,2,14,1.36,Assembly,7530.45,263,0.05734767025089606,0.942652329749104,0.05017921146953405,0.007168458781362007
QR00026,2025-01-11,Line A,Device Beta,Night,OP002,M-106,111,5,2,3,8.4,Electrical,2867.54,106,0.04504504504504504,0.954954954954955,0.02702702702702703,0.018018018018018018
QR00027,2025-11-10,Line C,Device Alpha,Night,OP003,M-101,173,4,1,3,3.33,Electrical,2691.37,169,0.023121387283236993,0.976878612716763,0.017341040462427744,0.005780346820809248
QR00028,2025-01-22,Line D,Device Gamma,Evening,OP013,M-105,280,14,2,12,0.33,Material,9423.38,266,0.05,0.95,0.04285714285714286,0.007142857142857143
QR00029,2025-11-25,Line A,Device Beta,Evening,OP010,M-103,112,4,2,2,1.69,Calibration,1772.34,108,0.03571428571428571,0.9642857142857143,0.017857142857142856,0.017857142857142856
QR00030,2025-06-23,Line B,Device Beta,Evening,OP028,M-105,263,9,1,8,3.82,Calibration,5636.15,254,0.034220532319391636,0.9657794676806084,0.030418250950570342,0.0038022813688212928
QR00031,2025-06-22,Line B,Device Delta,Evening,OP012,M-102,91,3,1,2,2.36,Calibration,1457.57,88,0.03296703296703297,0.967032967032967,0.02197802197802198,0.01098901098901099
QR00032,2025-11-11,Line D,Device Delta,Night,OP012,M-106,187,16,5,11,3.05,Assembly,6234.02,171,0.0855614973262032,0.9144385026737968,0.058823529411764705,0.026737967914438502
QR00033,2025-09-28,Line D,Device Beta,Evening,OP013,M-102,163,9,2,7,0.2,Electrical,6304.99,154,0.05521472392638037,0.9447852760736196,0.04294478527607362,0.012269938650306749
QR00034,2025-10-20,Line D,Device Beta,Evening,OP012,M-106,166,8,2,6,1.77,Electrical,5501.01,158,0.04819277108433735,0.9518072289156626,0.03614457831325301,0.012048192771084338
QR00035,2025-06-09,Line D,Device Delta,Evening,OP024,M-101,118,6,1,5,1.4,Assembly,2807.47,112,0.05084745762711865,0.9491525423728814,0.0423728813559322,0.00847457627118644
QR00036,2025-10-16,Line C,Device Alpha,Morning,OP017,M-104,104,2,1,1,0.96,Material,927.37,102,0.019230769230769232,0.9807692307692307,0.009615384615384616,0.009615384615384616
QR00037,2025-04-01,Line A,Device Beta,Night,OP027,M-103,238,9,1,8,1.46,Electrical,6841.83,229,0.037815126050420166,0.9621848739495799,0.03361344537815126,0.004201680672268907
QR00038,2025-04-27,Line A,Device Delta,Evening,OP006,M-101,249,6,1,5,2.02,Assembly,2788.57,243,0.024096385542168676,0.9759036144578314,0.020080321285140562,0.004016064257028112
QR00039,2025-03-04,Line C,Device Delta,Morning,OP018,M-105,180,5,2,3,2.45,Packaging,1006.25,175,0.027777777777777776,0.9722222222222222,0.016666666666666666,0.011111111111111112
QR00040,2025-01-16,Line B,Device Beta,Morning,OP027,M-102,204,8,3,5,3.2,Packaging,1842.37,196,0.0392156862745098,0.9607843137254902,0.024509803921568627,0.014705882352941176
QR00041,2025-08-21,Line B,Device Gamma,Morning,OP026,M-102,165,4,1,3,1.33,Assembly,1761.02,161,0.024242424242424242,0.9757575757575757,0.01818181818181818,0.006060606060606061
QR00042,2025-05-25,Line D,Device Alpha,Evening,OP015,M-101,263,12,4,8,1.06,Assembly,4862.44,251,0.045627376425855515,0.9543726235741445,0.030418250950570342,0.015209125475285171
QR00043,2025-02-07,Line B,Device Delta,Night,OP021,M-104,207,11,2,9,5.33,Electrical,8004.19,196,0.05314009661835749,0.9468599033816425,0.043478260869565216,0.00966183574879227
QR00044,2025-09-23,Line A,Device Alpha,Night,OP019,M-105,105,3,1,2,2.79,Process,1340.85,102,0.02857142857142857,0.9714285714285714,0.01904761904761905,0.009523809523809525
QR00045,2025-02-03,Line B,Device Delta,Morning,OP027,M-102,145,7,2,5,0.48,Electrical,4406.89,138,0.04827586206896552,0.9517241379310345,0.034482758620689655,0.013793103448275862
QR00046,2025-04-30,Line C,Device Beta,Morning,OP025,M-106,153,4,1,3,0.23,Process,1945.49,149,0.026143790849673203,0.9738562091503268,0.0196078431372549,0.006535947712418301
QR00047,2025-01-13,Line C,Device Beta,Morning,OP024,M-102,134,3,1,2,0.62,Material,1710.65,131,0.022388059701492536,0.9776119402985075,0.014925373134328358,0.007462686567164179
QR00048,2025-09-02,Line D,Device Delta,Night,OP004,M-102,152,8,3,5,1.42,Assembly,3049.75,144,0.05263157894736842,0.9473684210526315,0.03289473684210526,0.019736842105263157
QR00049,2025-12-26,Line B,Device Delta,Night,OP030,M-105,104,5,1,4,1.82,Process,2554.79,99,0.04807692307692308,0.9519230769230769,0.038461538461538464,0.009615384615384616
QR00050,2025-01-31,Line D,Device Gamma,Morning,OP010,M-101,201,7,1,6,2.61,Electrical,5175.91,194,0.03482587064676617,0.9651741293532339,0.029850746268656716,0.004975124378109453
QR00051,2025-10-07,Line B,Device Beta,Morning,OP021,M-104,163,6,2,4,0.52,Electrical,3604.6,157,0.03680981595092025,0.9631901840490797,0.024539877300613498,0.012269938650306749
QR00052,2025-09-29,Line D,Device Gamma,Evening,OP008,M-103,184,9,4,5,4.69,Electrical,4912.0,175,0.04891304347826087,0.9510869565217391,0.02717391304347826,0.021739130434782608
QR00053,2025-12-12,Line C,Device Beta,Night,OP005,M-105,270,8,3,5,3.32,Assembly,3309.31,262,0.02962962962962963,0.9703703703703703,0.018518518518518517,0.011111111111111112
QR00054,2025-02-09,Line A,Device Beta,Morning,OP028,M-105,193,6,2,4,3.85,Process,2567.51,187,0.031088082901554404,0.9689119170984456,0.02072538860103627,0.010362694300518135
QR00055,2025-02-26,Line C,Device Alpha,Morning,OP003,M-104,126,2,0,2,5.81,Calibration,1360.0,124,0.015873015873015872,0.9841269841269841,0.015873015873015872,0.0
QR00056,2025-12-09,Line D,Device Beta,Morning,OP025,M-103,204,11,3,8,1.54,Assembly,4766.99,193,0.05392156862745098,0.946078431372549,0.0392156862745098,0.014705882352941176
QR00057,2025-09-19,Line B,Device Alpha,Evening,OP019,M-102,276,12,5,7,3.43,Packaging,2710.56,264,0.043478260869565216,0.9565217391304348,0.025362318840579712,0.018115942028985508
QR00058,2025-07-15,Line A,Device Beta,Morning,OP006,M-103,191,7,1,6,0.89,Assembly,3302.67,184,0.03664921465968586,0.9633507853403142,0.031413612565445025,0.005235602094240838
QR00059,2025-01-13,Line C,Device Delta,Night,OP025,M-101,114,4,2,2,4.17,Assembly,1268.72,110,0.03508771929824561,0.9649122807017544,0.017543859649122806,0.017543859649122806
QR00060,2025-03-23,Line D,Device Gamma,Night,OP007,M-104,163,6,2,4,1.28,Material,3463.45,157,0.03680981595092025,0.9631901840490797,0.024539877300613498,0.012269938650306749
QR00061,2025-06-07,Line D,Device Alpha,Evening,OP018,M-104,135,7,3,4,1.81,Packaging,1697.27,128,0.05185185185185185,0.9481481481481482,0.02962962962962963,0.022222222222222223
QR00062,2025-02-21,Line B,Device Gamma,Morning,OP021,M-105,242,5,2,3,3.07,Process,2036.56,237,0.02066115702479339,0.9793388429752066,0.012396694214876033,0.008264462809917356
QR00063,2025-01-28,Line D,Device Delta,Morning,OP001,M-105,157,10,4,6,1.63,Electrical,5826.43,147,0.06369426751592357,0.9363057324840764,0.03821656050955414,0.025477707006369428
